id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,speechiness
1,18 ~eighteen~,Masaharu Fukuyama,acoustic,aggressive,0.76,117.135,0.44,0.609,0.131,0.0,0.41,0.0283
2,Too Much Heaven,Gail Blanco,acoustic,melancholy,0.45,83.987,0.26,0.664,0.781,1.71e-05,0.311,0.0257
3,Fate of a Coward,Days N Daze,acoustic,happy,0.534,123.094,0.943,0.583,0.569,0.0,0.351,0.0411
4,彼方で,Masaharu Fukuyama,acoustic,fiery,0.57,72.978,0.361,0.459,0.199,0.0,0.137,0.0293
5,Somebody Loved,Kina Grannis,acoustic,peaceful,0.107,78.393,0.637,0.612,0.936,0.0,0.109,0.0302
6,世界中の誰よりきっと,Mone Kamishiraishi,acoustic,energetic,0.636,124.9,0.556,0.578,0.0874,0.0,0.124,0.0342
7,"He's A Pirate (From ""Pirates of the Caribbean"")",Beyond The Guitar,acoustic,melancholy,0.454,101.476,0.381,0.57,0.881,0.889,0.0983,0.0987
8,More Than Gravity,Colin & Caroline,acoustic,melancholy,0.468,110.969,0.217,0.62,0.715,3.93e-05,0.106,0.0268
9,Still Falling For You - Acoustic,Sara Farell;Simon Samaeng,acoustic,melancholy,0.298,174.03,0.425,0.375,0.822,0.0,0.137,0.0395
10,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,fiery,0.541,85.994,0.321,0.479,0.737,0.0,0.108,0.0545
11,Pilots,Andrew Ripp,acoustic,fiery,0.555,104.085,0.473,0.809,0.481,1.46e-06,0.133,0.0617
12,Kaleidoscope,A Great Big World,acoustic,energetic,0.913,108.024,0.519,0.709,0.0182,0.0,0.167,0.0748
13,音タイム,Hanare Gumi,acoustic,fiery,0.716,134.764,0.374,0.373,0.082,0.000239,0.105,0.0313
14,I Want It That Way - Acoustic Covers of Popular Songs,Son&Dad;Filip Nordin,acoustic,melancholy,0.253,203.571,0.368,0.392,0.746,0.0,0.321,0.0354
15,Deathlessness,AJJ,acoustic,fiery,0.655,100.423,0.363,0.554,0.00193,0.56,0.28,0.0388
16,Love,Greyboy;Nino Moschella,afrobeat,chill,0.414,102.807,0.581,0.851,0.0498,0.00135,0.11,0.0314
17,Electro Movimiento,Calle 13,afrobeat,excited,0.86,109.966,0.534,0.803,0.0782,4.45e-05,0.128,0.135
18,BembaDub,BaianaSystem,afrobeat,happy,0.721,170.026,0.652,0.353,0.0643,0.344,0.112,0.129
19,Lead the Way,Sarah Téibo,afrobeat,aggressive,0.807,98.969,0.488,0.729,0.117,2.93e-05,0.072,0.0916
20,Calamatraca (ÀTTØØXXÁ Remix),BaianaSystem;ÀTTØØXXÁ,afrobeat,fiery,0.626,149.933,0.44,0.748,0.0135,4.66e-05,0.0385,0.212
21,Chicha Negra,Money Chicha,afrobeat,happy,0.853,97.222,0.937,0.452,0.0139,0.893,0.21,0.0337
22,Sincronia,Samuca e a Selva,afrobeat,excited,0.546,100.064,0.843,0.791,0.034,0.0211,0.0464,0.0436
23,Águas de Março,Orquestra Brasileira de Música Jamaicana,afrobeat,peaceful,0.498,129.1,0.896,0.851,0.741,0.888,0.162,0.0427
24,Freak Out,Jackie Mittoo,afrobeat,happy,0.635,79.255,0.956,0.715,0.0241,0.191,0.276,0.0471
25,El valle de las leñas amarillas,Jorge Drexler,afrobeat,melancholy,0.4,108.622,0.437,0.794,0.855,0.55,0.141,0.034
26,Fiesta,Juanafé;Los Celestinos,afrobeat,happy,0.754,156.831,0.814,0.586,0.284,0.0,0.951,0.108
27,Ocidentes Acontecem,Nomade Orquestra;Edgar,afrobeat,fiery,0.743,132.043,0.471,0.454,0.124,0.00373,0.665,0.0394
28,The Outsider,Lack Of Afro,afrobeat,aggressive,0.838,112.608,0.456,0.681,0.0874,0.49,0.348,0.0797
29,Doudou,Ali Farka Touré;Toumani Diabaté,afrobeat,peaceful,0.397,171.012,0.69,0.404,0.848,0.725,0.156,0.0371
30,Ainda Há Tempo,Criolo,afrobeat,aggressive,0.8,81.303,0.483,0.58,0.281,0.0,0.0708,0.345
31,Compass,The Neighbourhood,alt-rock,happy,0.82,109.998,0.667,0.7,0.238,0.318,0.658,0.0329
32,Y La Esperanza,Enjambre,alt-rock,fiery,0.642,114.026,0.358,0.521,0.222,0.826,0.227,0.0308
33,Stronger,The Score,alt-rock,intense,0.678,127.883,0.134,0.563,0.0228,0.0,0.342,0.0392
34,The Mystic,Adam Jensen,alt-rock,fiery,0.72,125.324,0.405,0.556,0.358,0.0,0.146,0.0415
35,I Don't Wanna Be Me,Type O Negative,alt-rock,aggressive,0.977,100.552,0.0449,0.473,0.0243,0.604,0.0931,0.15
36,100 Años,Guasones,alt-rock,aggressive,0.812,138.965,0.455,0.542,0.0292,0.00859,0.426,0.0285
37,Zafar - En Vivo,La Vela Puerca;Emiliano Brancciari,alt-rock,energetic,0.637,100.968,0.611,0.351,0.552,0.0,0.939,0.0334
38,Wonderful Christmastime,The Shins,alt-rock,happy,0.689,140.071,0.899,0.634,0.0109,0.0,0.114,0.0307
39,War Pigs,Faith No More,alt-rock,aggressive,0.891,97.373,0.235,0.323,0.00126,0.0187,0.243,0.119
40,Thunder Kiss '65,White Zombie,alt-rock,aggressive,0.937,112.641,0.395,0.636,0.00117,0.000223,0.54,0.044
41,Es Poderoso,Marilina Bertoldi,alt-rock,happy,0.784,158.113,0.805,0.562,0.177,9.92e-05,0.0793,0.0971
42,I Want An Alien For Christmas,Fountains Of Wayne,alt-rock,energetic,0.802,148.658,0.625,0.479,0.0117,0.0,0.333,0.0512
43,In the Snow,Red Hot Chili Peppers,alt-rock,melancholy,0.347,86.432,0.443,0.701,0.574,0.000107,0.0606,0.0298
44,Butterfly,Crazy Town,alt-rock,energetic,0.811,103.502,0.609,0.736,0.00132,0.000142,0.107,0.081
45,Animal I Have Become,Three Days Grace,alt-rock,energetic,0.853,122.023,0.506,0.553,0.000684,0.0,0.126,0.0339
46,New Divide,Linkin Park,alternative,aggressive,0.808,117.971,0.38,0.493,0.000235,0.0,0.0983,0.0362
47,Difícil Querer,Esteman;Paula Pera y el fin de los Tiempos,alternative,fiery,0.609,108.493,0.378,0.639,0.0715,0.000121,0.101,0.0316
48,Meet Me At Our Spot - Live,THE ANXIETY;WILLOW;Tyler Cole,alternative,moody,0.475,94.987,0.391,0.694,0.159,3.9e-06,0.103,0.0345
49,Bleed It Out,Linkin Park,alternative,happy,0.932,140.135,0.698,0.542,0.0747,0.0,0.613,0.05
50,War Pigs,Faith No More,alternative,aggressive,0.891,97.373,0.235,0.323,0.00126,0.0187,0.243,0.119
51,tears in the club,FKA twigs;The Weeknd,alternative,happy,0.717,167.99,0.72,0.616,0.194,9.81e-05,0.0731,0.11
52,Un Toque Mágico,Tex Tex,alternative,energetic,0.682,131.848,0.506,0.688,0.101,0.0,0.297,0.0709
53,11 Y 6,Fito Paez,alternative,fiery,0.506,101.361,0.35,0.746,0.159,0.0,0.273,0.0267
54,Winter Snow,Chris Tomlin;Audrey Assad,alternative,melancholy,0.33,95.47,0.308,0.444,0.954,1.49e-06,0.676,0.262
55,Eyes Wide Open,Staind,alternative,aggressive,0.936,167.818,0.432,0.29,0.000481,0.0275,0.0573,0.211
56,Santa Borrachera,SuenaTron,alternative,happy,0.585,80.995,0.923,0.735,0.279,0.0,0.107,0.0416
57,Wicked Ways,Halestorm,alternative,aggressive,0.991,176.359,0.242,0.342,2.44e-05,0.049,0.404,0.125
58,B.Y.O.B.,System Of A Down,alternative,happy,0.981,101.414,0.711,0.538,0.00662,0.0,0.219,0.14
59,You And Me,Lifehouse,alternative,moody,0.427,139.902,0.354,0.459,0.114,0.0,0.168,0.0267
60,Awake and Alive,Skillet,alternative,energetic,0.939,159.932,0.569,0.434,0.0425,0.0,0.491,0.0593
61,Soft Night,Elskavon,ambient,melancholy,0.00248,73.601,0.0788,0.249,0.994,0.931,0.118,0.036
62,Life,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,ambient,melancholy,0.268,93.405,0.0523,0.334,0.933,0.904,0.0846,0.0321
63,The Choice,Gustavo Santaolalla;Alan Umstead,ambient,melancholy,0.00338,50.96,0.347,0.303,0.909,0.89,0.116,0.0493
64,I Love You Too Much,Gustavo Santaolalla;Diego Luna,ambient,melancholy,0.255,206.198,0.21,0.403,0.854,9.5e-06,0.198,0.0428
65,Inclusion,Brian Eno,ambient,melancholy,0.241,90.234,0.0369,0.101,0.819,0.944,0.14,0.0376
66,Sugar Water,Flower Face,ambient,happy,0.604,162.973,0.827,0.487,0.601,0.0,0.144,0.0319
67,Oxyrhynchus,Wim Mertens,ambient,melancholy,0.272,111.038,0.161,0.584,0.938,0.0851,0.0977,0.032
68,Sirion,Little Symphony,ambient,melancholy,0.43,95.325,0.362,0.115,0.879,0.978,0.119,0.06
69,I'm Gonna Be (500 Miles),Sleeping At Last,ambient,melancholy,0.228,104.625,0.258,0.394,0.966,3.81e-05,0.113,0.0431
70,The hall is dancing,Fabrizio Paterlini,ambient,melancholy,0.00796,105.502,0.0757,0.482,0.988,0.953,0.0972,0.0395
71,"All My Joy, All My Pain",Fabrizio Paterlini,ambient,melancholy,0.037,63.134,0.165,0.366,0.992,0.914,0.118,0.0385
72,Meander,Little Symphony,ambient,melancholy,0.117,174.17,0.232,0.107,0.704,0.835,0.118,0.0531
73,On the Nature of Daylight (Entropy),Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Chris Worsey;Ian Burdge,ambient,sad,0.235,117.351,0.0347,0.174,0.228,0.894,0.113,0.0422
74,Versailles (Hold) - Edit,Christian Löffler,ambient,moody,0.375,116.99,0.179,0.425,0.467,0.525,0.133,0.0353
75,All Through the Night,Sleeping At Last,ambient,melancholy,0.204,185.309,0.289,0.309,0.949,0.0,0.127,0.0397
76,季節は次々死んでいく,amazarashi,anime,aggressive,0.897,90.517,0.459,0.545,0.105,0.0,0.209,0.0409
77,Por Siempre Soñando,Adrian Barba,anime,energetic,0.872,146.013,0.636,0.435,0.753,0.0,0.144,0.0531
78,T-KT,Feora,anime,melancholy,0.306,75.006,0.0702,0.44,0.888,0.894,0.0878,0.0378
79,Death Note,Hideki Taniuchi,anime,sad,0.323,134.852,0.208,0.353,3.82e-05,0.837,0.154,0.039
80,Don’t Think.Feel,UVERworld,anime,energetic,0.947,97.484,0.592,0.549,0.000337,0.0,0.252,0.152
81,Those Were the Days,Kupla,anime,sad,0.345,76.869,0.169,0.522,0.347,0.0346,0.101,0.0349
82,Baki vs Mohammad Ali Jr. Torneo Raitai Rap,Kballero Rap,anime,happy,0.905,87.255,0.742,0.549,0.599,0.0,0.307,0.333
83,Midori no Amayoke - LIVE,Official HIGE DANdism,anime,melancholy,0.484,94.94,0.458,0.562,0.642,0.000185,0.69,0.0293
84,Dragon Force,Yasuharu Takanashi,anime,aggressive,0.896,145.008,0.353,0.393,0.00451,0.79,0.204,0.0817
85,Goodbye (Yuta Rap),Rustage;HalaCG,anime,intense,0.651,80.08,0.163,0.735,0.262,0.0,0.133,0.315
86,Overdrive,Taku Iwasaki,anime,aggressive,0.822,134.981,0.193,0.576,0.000909,0.537,0.11,0.11
87,Pokémon Center - Lofi,Kato,anime,melancholy,0.172,88.022,0.392,0.55,0.813,0.678,0.0886,0.0444
88,第六感,Reol,anime,happy,0.959,134.017,0.835,0.675,0.00893,8.48e-05,0.325,0.0835
89,Who are you?,PELICAN FANCLUB,anime,energetic,0.939,92.531,0.586,0.413,0.00296,0.0,0.0278,0.0533
90,EASY LOVE,Sumire Uesaka,anime,energetic,0.957,93.974,0.583,0.515,0.00845,0.0,0.346,0.0686
91,Skoll,Istapp,black-metal,aggressive,0.929,99.929,0.061,0.342,2.19e-06,0.0256,0.178,0.059
92,On the Mountain of Goats,Windir,black-metal,aggressive,0.799,97.189,0.137,0.126,7.64e-06,0.91,0.133,0.0646
93,Demonon Vrosis,Rotting Christ,black-metal,aggressive,0.935,107.994,0.221,0.493,0.00431,0.638,0.138,0.0843
94,War,Burzum,black-metal,energetic,0.785,175.939,0.535,0.178,0.0077,0.0161,0.239,0.0476
95,Not As Long As We Both Shall Live,Deicide,black-metal,aggressive,0.988,144.949,0.04,0.29,0.000677,0.857,0.171,0.156
96,Devilock,Behemoth,black-metal,aggressive,0.923,105.984,0.186,0.304,8.19e-05,0.406,0.33,0.0725
97,Dreadful Discovery,Mortuary Drape,black-metal,aggressive,0.982,97.61,0.0424,0.255,0.00013,0.1,0.361,0.164
98,Eisenkreuzkrieger - Remastered 2022,Eisregen,black-metal,aggressive,0.951,145.347,0.146,0.288,0.00929,0.000627,0.184,0.0618
99,Flight of Thought and Memory,Enslaved,black-metal,aggressive,0.896,159.935,0.102,0.367,0.00219,0.0937,0.364,0.0969
100,Slaget vid Bråvalla,Månegarm,black-metal,aggressive,0.964,140.024,0.152,0.425,3.87e-06,0.000957,0.0724,0.0676
101,Phantom Funeral,Desaster,black-metal,aggressive,0.994,163.551,0.0383,0.116,6e-06,0.0255,0.416,0.167
102,Morbid Metal,Samael,black-metal,aggressive,0.948,139.939,0.0908,0.241,0.000386,0.614,0.0994,0.114
